0 0 100
0 0.1 100
0 0.2 100
0 0.3 100
0 0.4 100
0 0.5 100
0 0.6 100
0 0.7 100
0 0.8 100
0 0.9 100
0 1 100
0 1.1 100
0 1.2 100
0 1.3 100
0 1.4 100

0.1 0 0
0.1 0.1 49.4249
0.1 0.2 68.5983
0.1 0.3 77.2657
0.1 0.4 81.6652
0.1 0.5 84.0172
0.1 0.6 85.1975
0.1 0.7 85.5597
0.1 0.8 85.2001
0.1 0.9 84.0219
0.1 1 81.6714
0.1 1.1 77.2722
0.1 1.2 68.604
0.1 1.3 49.4284
0.1 1.4 0

0.2 0 0
0.2 0.1 29.104
0.2 0.2 47.707
0.2 0.3 58.805
0.2 0.4 65.3849
0.2 0.5 69.2135
0.2 0.6 71.2211
0.2 0.7 71.8487
0.2 0.8 71.2259
0.2 0.9 69.2225
0.2 1 65.3965
0.2 1.1 58.8173
0.2 1.2 47.7178
0.2 1.3 29.1106
0.2 1.4 0

0.3 0 0
0.3 0.1 19.2883
0.3 0.2 34.3278
0.3 0.3 44.8715
0.3 0.4 51.8668
0.3 0.5 56.2428
0.3 0.6 58.6367
0.3 0.7 59.4001
0.3 0.8 58.6435
0.3 0.9 56.2553
0.3 1 51.8831
0.3 1.1 44.8888
0.3 1.2 34.3429
0.3 1.3 19.2976
0.3 1.4 0

0.4 0 0
0.4 0.1 13.7274
0.4 0.2 25.4535
0.4 0.3 34.4984
0.4 0.4 40.982
0.4 0.5 45.2694
0.4 0.6 47.6987
0.4 0.7 48.487
0.4 0.8 47.707
0.4 0.9 45.2847
0.4 1 41.0019
0.4 1.1 34.5196
0.4 1.2 25.4719
0.4 1.3 13.7387
0.4 1.4 0

0.5 0 0
0.5 0.1 10.1745
0.5 0.2 19.2712
0.5 0.3 26.7006
0.5 0.4 32.31
0.5 0.5 36.172
0.5 0.6 38.4203
0.5 0.7 39.1601
0.5 0.8 38.4296
0.5 0.9 36.1892
0.5 1 32.3324
0.5 1.1 26.7244
0.5 1.2 19.2919
0.5 1.3 10.1873
0.5 1.4 0

0.6 0 0
0.6 0.1 7.707
0.6 0.2 14.768
0.6 0.3 20.7382
0.6 0.4 25.4034
0.6 0.5 28.708
0.6 0.6 30.6704
0.6 0.7 31.3232
0.6 0.8 30.6801
0.6 0.9 28.7261
0.6 1 25.427
0.6 1.1 20.7633
0.6 1.2 14.7899
0.6 1.3 7.72046
0.6 1.4 0

0.7 0 0
0.7 0.1 5.8932
0.7 0.2 11.3679
0.7 0.3 16.0966
0.7 0.4 19.876
0.7 0.5 22.6061
0.7 0.6 24.2506
0.7 0.7 24.8022
0.7 0.8 24.2604
0.7 0.9 22.6242
0.7 1 19.8996
0.7 1.1 16.1216
0.7 1.2 11.3897
0.7 1.3 5.90665
0.7 1.4 0

0.8 0 0
0.8 0.1 4.50552
0.8 0.2 8.72566
0.8 0.3 12.4196
0.8 0.4 15.4159
0.8 0.5 17.6094
0.8 0.6 18.9439
0.8 0.7 19.3943
0.8 0.8 18.9532
0.8 0.9 17.6266
0.8 1 15.4383
0.8 1.1 12.4434
0.8 1.2 8.74641
0.8 1.3 4.5183
0.8 1.4 0

0.9 0 0
0.9 0.1 3.41032
0.9 0.2 6.62075
0.9 0.3 9.45457
0.9 0.4 11.7755
0.9 0.5 13.4897
0.9 0.6 14.5399
0.9 0.7 14.8959
0.9 0.8 14.5483
0.9 0.9 13.5052
0.9 1 11.7956
0.9 1.1 9.47604
0.9 1.2 6.63945
0.9 1.3 3.42184
0.9 1.4 0

1 0 0
1 0.1 2.52128
1 0.2 4.90222
1 0.3 7.01506
1 0.4 8.75629
1 0.5 10.05
1 0.6 10.8463
1 0.7 11.1172
1 0.8 10.8534
1 0.9 10.0631
1 1 8.77336
1 1.1 7.03322
1 1.2 4.91803
1 1.3 2.53102
1 1.4 0

1.1 0 0
1.1 0.1 1.77774
1.1 0.2 3.45981
1.1 0.3 4.95744
1.1 0.4 6.19658
1.1 0.5 7.12079
1.1 0.6 7.69136
1.1 0.7 7.88591
1.1 0.8 7.69687
1.1 0.9 7.13098
1.1 1 6.20984
1.1 1.1 4.97155
1.1 1.2 3.4721
1.1 1.3 1.78532
1.1 1.4 0

1.2 0 0
1.2 0.1 1.13376
1.2 0.2 2.20776
1.2 0.3 3.16591
1.2 0.4 3.9606
1.2 0.5 4.55471
1.2 0.6 4.92219
1.2 0.7 5.04767
1.2 0.8 4.92593
1.2 0.9 4.56162
1.2 1 3.96959
1.2 1.1 3.17548
1.2 1.2 2.21609
1.2 1.3 1.1389
1.2 1.4 0

1.3 0 0
1.3 0.1 0.552007
1.3 0.2 1.07523
1.3 0.3 1.54251
1.3 0.4 1.93058
1.3 0.5 2.22106
1.3 0.6 2.40091
1.3 0.7 2.46238
1.3 0.8 2.40278
1.3 0.9 2.22451
1.3 1 1.93507
1.3 1.1 1.5473
1.3 1.2 1.0794
1.3 1.3 0.554575
1.3 1.4 0

1.4 0 0
1.4 0.1 0
1.4 0.2 0
1.4 0.3 0
1.4 0.4 0
1.4 0.5 0
1.4 0.6 0
1.4 0.7 0
1.4 0.8 0
1.4 0.9 0
1.4 1 0
1.4 1.1 0
1.4 1.2 0
1.4 1.3 0
1.4 1.4 0

